Wall time,Step,Value
1619118511.4661922,0,0.0
1619118514.2987049,1,0.0
1619118516.992367,2,0.0
1619118519.7139385,3,0.0
1619118522.4586875,4,0.0
1619118525.048543,5,0.0
1619118527.7225165,6,0.0
1619118530.4477093,7,0.0
1619118533.11459,8,0.0
1619118535.6666622,9,0.0
1619118538.3076441,10,0.0
1619118540.777958,11,0.0
1619118543.144665,12,0.0
1619118545.5502334,13,0.0
1619118547.9762642,14,0.0
1619118550.3205106,15,0.0
1619118552.7655947,16,0.0
1619118555.252391,17,0.0
1619118557.6045876,18,0.0
1619118560.0337567,19,0.0
1619118562.5050476,20,0.0
1619118564.9499567,21,0.0
1619118567.3139505,22,0.0
1619118569.7531512,23,0.0
1619118572.2007594,24,0.0
1619118574.5395298,25,0.0
1619118576.962186,26,0.0
1619118579.3991776,27,0.0
1619118581.8438997,28,0.0
1619118584.1922479,29,0.0
1619118586.6258507,30,0.0
1619118589.0686734,31,0.0
1619118591.4250321,32,0.0
1619118593.86634,33,0.0
1619118596.3334448,34,0.0
1619118598.7470288,35,0.0
1619118601.049194,36,0.0
1619118603.4468968,37,0.0
1619118605.8725286,38,0.0
1619118608.2080195,39,0.0
1619118610.6108716,40,0.0
1619118613.0080526,41,0.0
1619118615.435787,42,0.0
1619118617.711593,43,0.0
1619118620.121911,44,0.0
1619118622.5276136,45,0.0
1619118624.8402848,46,0.0
1619118627.220416,47,0.0
1619118629.6336417,48,0.0
1619118632.047284,49,0.0
1619118634.3615096,50,0.0
1619118636.7386608,51,0.0
1619118639.140282,52,0.0
1619118641.427478,53,0.0
1619118643.7917461,54,0.0
1619118646.1614118,55,0.0
1619118648.546685,56,0.0
1619118650.8487744,57,0.0
1619118653.2369833,58,0.0
1619118655.6303432,59,0.0
1619118657.9466665,60,0.0
1619118660.3783505,61,0.0
1619118662.832449,62,0.0
1619118665.2789388,63,0.0
1619118667.5923057,64,0.0
1619118670.0269082,65,0.0
1619118672.4524546,66,0.0
1619118674.7796497,67,0.0
1619118677.1399329,68,0.0
1619118679.5194438,69,0.0
1619118681.8898919,70,0.0
1619118684.1688595,71,0.0
1619118686.5254295,72,0.0
1619118688.9107409,73,0.0
1619118691.2122793,74,0.0
1619118693.6064038,75,0.0
1619118696.017381,76,0.0
1619118698.415012,77,0.0
1619118700.713754,78,0.0
1619118703.0933764,79,0.0
1619118705.4871066,80,0.0
1619118707.7907696,81,0.0
1619118710.1611314,82,0.0
1619118712.5128572,83,0.0
1619118714.895372,84,0.0
1619118717.1744206,85,0.0
1619118719.5361264,86,0.0
1619118721.9286046,87,0.0
1619118724.2308724,88,0.0
1619118726.601677,89,0.0
1619118728.998285,90,0.0
1619118731.4140606,91,0.0
1619118733.7069104,92,0.0
1619118736.1068506,93,0.0
1619118738.5191286,94,0.0
1619118740.8150544,95,0.0
1619118743.1915812,96,0.0
1619118745.5924666,97,0.0
1619118748.0106068,98,0.0
1619118750.301339,99,0.0
