Wall time,Step,Value
1619118251.2344291,0,0.18947453796863556
1619118253.846804,1,0.3031140863895416
1619118256.5156136,2,0.3428441882133484
1619118259.2071688,3,0.37769970297813416
1619118261.9677758,4,0.39798909425735474
1619118264.5305896,5,0.4206027686595917
1619118267.226604,6,0.4363613724708557
1619118269.9143627,7,0.44387245178222656
1619118272.6082194,8,0.4522837996482849
1619118275.1562517,9,0.45894449949264526
1619118277.8058841,10,0.46443966031074524
1619118280.435467,11,0.4676993191242218
1619118282.9823668,12,0.46882298588752747
1619118285.5799634,13,0.47156593203544617
1619118288.1843462,14,0.47148579359054565
1619118290.686575,15,0.4736838936805725
1619118293.2200074,16,0.47392165660858154
1619118295.7977643,17,0.4751954674720764
1619118298.5074165,18,0.47417324781417847
1619118300.8923063,19,0.47556233406066895
1619118303.5090108,20,0.4765457212924957
1619118306.1197338,21,0.47584080696105957
1619118308.6313813,22,0.4753503203392029
1619118311.0436656,23,0.47521549463272095
1619118313.5473168,24,0.4752368927001953
1619118316.0895574,25,0.47491079568862915
1619118318.5081327,26,0.47528183460235596
1619118321.0092785,27,0.47404056787490845
1619118323.527188,28,0.4743421673774719
1619118326.0444436,29,0.47339749336242676
1619118328.457539,30,0.4728422462940216
1619118331.0040102,31,0.4726053774356842
1619118333.5367243,32,0.47250452637672424
1619118336.0526254,33,0.4726642966270447
1619118338.4315708,34,0.47263869643211365
1619118340.9052205,35,0.4716682732105255
1619118343.3740683,36,0.4707863926887512
1619118345.8436954,37,0.4710707664489746
1619118348.2111082,38,0.4710654020309448
1619118350.6856358,39,0.46909192204475403
1619118353.1635745,40,0.46981361508369446
1619118355.555805,41,0.46904197335243225
1619118358.0221655,42,0.4675191044807434
1619118360.4910727,43,0.4690243899822235
1619118362.9865422,44,0.4673979580402374
1619118365.405084,45,0.46829521656036377
1619118367.8924983,46,0.4676828682422638
1619118370.4934442,47,0.4667944312095642
1619118372.8749492,48,0.4665950536727905
1619118375.3594074,49,0.4673459529876709
1619118377.8916097,50,0.46624261140823364
1619118380.4120066,51,0.4660244882106781
1619118382.831338,52,0.46641361713409424
1619118385.3429637,53,0.46502622961997986
1619118387.8698032,54,0.4661897122859955
1619118390.2684643,55,0.46479249000549316
1619118392.758654,56,0.4641272723674774
1619118395.263572,57,0.4629610478878021
1619118397.767888,58,0.4635326564311981
1619118400.1588812,59,0.4637567102909088
1619118402.6555471,60,0.4628358483314514
1619118405.1573722,61,0.4628863036632538
1619118407.708707,62,0.4619075357913971
1619118410.1812613,63,0.46166592836380005
1619118412.7097673,64,0.4620509743690491
1619118415.2105196,65,0.46138811111450195
1619118417.7165413,66,0.46082696318626404
1619118420.1108863,67,0.46088311076164246
1619118422.5909915,68,0.4602488577365875
1619118425.0987334,69,0.4599953293800354
1619118427.4842381,70,0.45961397886276245
1619118429.9537418,71,0.4598007798194885
1619118432.4523113,72,0.45928075909614563
1619118434.9689574,73,0.4598694145679474
1619118437.3518958,74,0.45922020077705383
1619118439.8243167,75,0.4597320854663849
1619118442.3228757,76,0.45867612957954407
1619118444.7348309,77,0.4584914445877075
1619118447.2039707,78,0.4585684537887573
1619118449.7614512,79,0.45950081944465637
1619118452.2860763,80,0.4584198594093323
1619118454.702885,81,0.458443284034729
1619118457.1778579,82,0.45838016271591187
1619118459.6953201,83,0.45916980504989624
1619118462.073193,84,0.45863431692123413
1619118464.5372972,85,0.45796188712120056
1619118467.0045629,86,0.4578748941421509
1619118469.5095263,87,0.4580162465572357
1619118471.9101772,88,0.45861679315567017
1619118474.389877,89,0.45683231949806213
1619118476.8792057,90,0.45850151777267456
1619118479.3818402,91,0.4572431445121765
1619118481.8167849,92,0.45722195506095886
1619118484.325577,93,0.4576148986816406
1619118486.8533182,94,0.45559412240982056
1619118489.3837051,95,0.4576040804386139
1619118491.8010786,96,0.4575278162956238
1619118494.2946784,97,0.45696282386779785
1619118496.8029253,98,0.45716461539268494
1619118499.2074244,99,0.45699673891067505
