Wall time,Step,Value
1619117994.9657426,0,0.16183339059352875
1619117997.5664797,1,0.22963392734527588
1619118000.1320717,2,0.2523655593395233
1619118002.706482,3,0.29663902521133423
1619118005.4042976,4,0.33331233263015747
1619118007.9022949,5,0.35600951313972473
1619118010.4782684,6,0.37973350286483765
1619118013.0996435,7,0.3883659243583679
1619118015.5609636,8,0.3955252170562744
1619118018.1039014,9,0.408295601606369
1619118020.841518,10,0.4131371080875397
1619118023.5427783,11,0.4253842234611511
1619118026.1562672,12,0.4275592267513275
1619118028.776178,13,0.4348600506782532
1619118031.4313176,14,0.43948814272880554
1619118033.9303,15,0.4436782896518707
1619118036.5042617,16,0.44665464758872986
1619118039.1078258,17,0.45029523968696594
1619118041.7258334,18,0.45440226793289185
1619118044.2173402,19,0.45613551139831543
1619118046.7929854,20,0.4582543969154358
1619118049.4008138,21,0.4606255888938904
1619118052.04383,22,0.4614367187023163
1619118054.5380025,23,0.4632476270198822
1619118057.0974832,24,0.46569427847862244
1619118059.663523,25,0.4646838307380676
1619118062.114225,26,0.46740981936454773
1619118064.5825844,27,0.4660032093524933
1619118067.0276937,28,0.4660256803035736
1619118069.4889846,29,0.46907877922058105
1619118071.9790535,30,0.46732309460639954
1619118074.3957837,31,0.46785956621170044
1619118076.8706067,32,0.46771112084388733
1619118079.3448129,33,0.4692572355270386
1619118081.9609344,34,0.46829754114151
1619118084.3032079,35,0.46872052550315857
1619118086.7644775,36,0.468917578458786
1619118089.2109876,37,0.46846678853034973
1619118091.5527127,38,0.46826988458633423
1619118093.9898279,39,0.46714311838150024
1619118096.4405682,40,0.4670737683773041
1619118098.904695,41,0.4663343131542206
1619118101.2527351,42,0.4668060541152954
1619118103.6894102,43,0.46562525629997253
1619118106.1417344,44,0.4654632806777954
1619118108.624412,45,0.46417492628097534
1619118111.123681,46,0.46518486738204956
1619118113.4827838,47,0.4630487263202667
1619118115.9626503,48,0.46383026242256165
1619118118.4123871,49,0.4627644717693329
1619118120.7614827,50,0.46221789717674255
1619118123.1863956,51,0.4638001620769501
1619118125.6464562,52,0.4616146385669708
1619118128.112837,53,0.46120163798332214
1619118130.4771664,54,0.4601718485355377
1619118132.9128177,55,0.46048828959465027
1619118135.4209163,56,0.4608706831932068
1619118137.8759978,57,0.46005353331565857
1619118140.3207223,58,0.4594288766384125
1619118142.663021,59,0.4589281678199768
1619118145.0970087,60,0.4592871069908142
1619118147.5823977,61,0.45822325348854065
1619118149.9243762,62,0.45670509338378906
1619118152.3548775,63,0.45697662234306335
1619118154.7962828,64,0.45602554082870483
1619118157.2324853,65,0.45544251799583435
1619118159.572389,66,0.4553152918815613
1619118162.002052,67,0.4551323652267456
1619118164.4563184,68,0.4557596445083618
1619118166.8928628,69,0.45434993505477905
1619118169.3475497,70,0.45422613620758057
1619118171.6780741,71,0.45345816016197205
1619118174.1041813,72,0.45416459441185
1619118176.5468166,73,0.4536176025867462
1619118178.8869145,74,0.4526402950286865
1619118181.2985482,75,0.4529202878475189
1619118183.7265384,76,0.452026903629303
1619118186.1672537,77,0.4526230990886688
1619118188.4973156,78,0.45265650749206543
1619118190.9237976,79,0.4512570798397064
1619118193.4097376,80,0.4510115683078766
1619118195.8855557,81,0.45173999667167664
1619118198.3460748,82,0.45193156599998474
1619118200.6844606,83,0.4512561559677124
1619118203.1303096,84,0.45116522908210754
1619118205.6215057,85,0.4507638216018677
1619118207.9357178,86,0.45000723004341125
1619118210.3369575,87,0.4500172436237335
1619118212.7641203,88,0.4495682716369629
1619118215.170017,89,0.44965076446533203
1619118217.5531986,90,0.44951385259628296
1619118219.9440906,91,0.4492257237434387
1619118222.3511293,92,0.4490228593349457
1619118224.779146,93,0.448578804731369
1619118227.2170272,94,0.4489442706108093
1619118229.5551126,95,0.4483829438686371
1619118231.983716,96,0.4477919638156891
1619118234.4260309,97,0.4478120803833008
1619118236.7509193,98,0.44826650619506836
1619118239.1342525,99,0.44779863953590393
