Wall time,Step,Value
1619122151.05547,0,0.18631525337696075
1619122154.3679395,1,0.23487041890621185
1619122157.8100693,2,0.3244064748287201
1619122161.1102674,3,0.3614690601825714
1619122164.5621278,4,0.373141884803772
1619122168.033707,5,0.38508665561676025
1619122171.3099027,6,0.3870462477207184
1619122174.7118137,7,0.39069047570228577
1619122178.170395,8,0.394447922706604
1619122181.6443627,9,0.4026769697666168
1619122184.9215996,10,0.4057033360004425
1619122188.2943916,11,0.40832751989364624
1619122191.570382,12,0.4130360186100006
1619122194.922128,13,0.41378146409988403
1619122198.371694,14,0.41278767585754395
1619122201.304643,15,0.4144813120365143
1619122204.7788231,16,0.4109991788864136
1619122207.8666089,17,0.40608546137809753
1619122210.8427858,18,0.4039624333381653
1619122213.852223,19,0.4024902582168579
1619122216.894043,20,0.40437689423561096
1619122219.8114846,21,0.3983602821826935
1619122222.8718624,22,0.4027681350708008
1619122225.9378831,23,0.3968646824359894
1619122228.9620528,24,0.40008091926574707
1619122231.8723516,25,0.3994911313056946
1619122234.958319,26,0.3975672423839569
1619122238.0298123,27,0.39961957931518555
1619122241.1470916,28,0.39921119809150696
1619122244.076863,29,0.3984355330467224
1619122247.1115842,30,0.396321564912796
1619122250.1740859,31,0.3966080844402313
1619122253.2006466,32,0.39553239941596985
1619122256.0871131,33,0.39449524879455566
1619122259.2177153,34,0.39641815423965454
1619122262.262433,35,0.39605599641799927
1619122265.3139951,36,0.3943272829055786
1619122268.1749156,37,0.3929561376571655
1619122271.1861167,38,0.3925758898258209
1619122274.3142943,39,0.3919949531555176
1619122277.3520162,40,0.3915202021598816
1619122280.2759707,41,0.3923102617263794
1619122283.3470786,42,0.3901728689670563
1619122286.3557453,43,0.3896118402481079
1619122289.442536,44,0.3884740173816681
1619122292.2885592,45,0.3868749737739563
1619122295.279581,46,0.38762184977531433
1619122298.382929,47,0.38539329171180725
1619122301.3750622,48,0.38451263308525085
1619122304.3107772,49,0.38423189520835876
1619122307.3120565,50,0.3833667039871216
1619122310.3133729,51,0.3838558793067932
1619122313.340636,52,0.3822123408317566
1619122316.2092783,53,0.38279590010643005
1619122319.283137,54,0.3810134530067444
1619122322.4299846,55,0.3810191750526428
1619122325.5042791,56,0.38087642192840576
1619122328.4914143,57,0.37939831614494324
1619122331.6213427,58,0.3796253502368927
1619122334.7287424,59,0.3786636292934418
1619122337.895693,60,0.37783074378967285
1619122340.8834722,61,0.3779940903186798
1619122344.00027,62,0.3776243031024933
1619122347.145827,63,0.3779672086238861
1619122350.2034457,64,0.37691813707351685
1619122353.112677,65,0.3770199418067932
1619122356.171463,66,0.3759688436985016
1619122359.2228274,67,0.37476733326911926
1619122362.3060818,68,0.37509092688560486
1619122365.2477906,69,0.3740130662918091
1619122368.2877512,70,0.3745306730270386
1619122371.4052508,71,0.3729728162288666
1619122374.5198238,72,0.374786376953125
1619122377.3997724,73,0.37321943044662476
1619122380.5254476,74,0.37342047691345215
1619122383.6673977,75,0.37359169125556946
1619122386.7488568,76,0.3728654980659485
1619122389.6740892,77,0.37204229831695557
1619122392.7439551,78,0.37221500277519226
1619122395.8228068,79,0.3720107078552246
1619122398.9114916,80,0.37222275137901306
1619122401.816863,81,0.3716292381286621
1619122404.8781369,82,0.3701571524143219
1619122407.9220335,83,0.3717532157897949
1619122410.8758295,84,0.3700120449066162
1619122413.814539,85,0.3696914315223694
1619122416.8687887,86,0.370056688785553
1619122419.8531651,87,0.37017279863357544
1619122422.8881364,88,0.36984574794769287
1619122425.7204304,89,0.36837539076805115
1619122428.7608497,90,0.369476318359375
1619122431.8169205,91,0.37030547857284546
1619122434.8691835,92,0.3690425455570221
1619122437.8538332,93,0.3691125512123108
1619122440.9009433,94,0.36957892775535583
1619122443.9490638,95,0.3684077858924866
1619122446.9818935,96,0.36946961283683777
1619122449.8483825,97,0.36717650294303894
1619122452.899986,98,0.3682386577129364
1619122455.9335515,99,0.36788952350616455
