Wall time,Step,Value
1619118762.9065826,0,0.4633101224899292
1619118765.7068477,1,0.476046085357666
1619118768.370038,2,0.4825970530509949
1619118771.0829637,3,0.49430525302886963
1619118773.768702,4,0.5141431093215942
1619118776.3322246,5,0.5245283246040344
1619118778.9938357,6,0.5206295251846313
1619118781.4814303,7,0.5293372869491577
1619118784.0531368,8,0.5303231477737427
1619118786.5515385,9,0.5098425149917603
1619118789.1281228,10,0.5131450891494751
1619118791.6598842,11,0.5336856245994568
1619118794.1850753,12,0.5091277956962585
1619118796.6862845,13,0.5029115676879883
1619118799.0652447,14,0.4891067445278168
1619118801.5410376,15,0.49214091897010803
1619118804.0485647,16,0.49037933349609375
1619118806.5561316,17,0.4831081032752991
1619118808.9385607,18,0.47932010889053345
1619118811.3798933,19,0.48086807131767273
1619118813.8084702,20,0.4612676203250885
1619118816.2950187,21,0.45216330885887146
1619118818.6435745,22,0.4537205100059509
1619118821.056379,23,0.45033928751945496
1619118823.494349,24,0.44704434275627136
1619118825.8349164,25,0.46541619300842285
1619118828.3204303,26,0.45603394508361816
1619118830.849667,27,0.450030654668808
1619118833.2968435,28,0.471198171377182
1619118835.824902,29,0.4476131498813629
1619118838.3927612,30,0.44692736864089966
1619118840.8278723,31,0.45673078298568726
1619118843.4382331,32,0.45350930094718933
1619118845.9546552,33,0.45157384872436523
1619118848.4656537,34,0.4395465850830078
1619118850.8602066,35,0.44621026515960693
1619118853.3240662,36,0.4445820450782776
1619118855.7796054,37,0.43065232038497925
1619118858.2625527,38,0.42357513308525085
1619118860.6224382,39,0.44002485275268555
1619118863.0916123,40,0.43274110555648804
1619118865.5814838,41,0.4401496350765228
1619118867.9392302,42,0.44017359614372253
1619118870.4372568,43,0.43533122539520264
1619118872.96091,44,0.435433566570282
1619118875.4115503,45,0.43718594312667847
1619118877.9180682,46,0.43074968457221985
1619118880.4447875,47,0.4295729696750641
1619118882.867505,48,0.4327704906463623
1619118885.4759061,49,0.43216079473495483
1619118887.99104,50,0.41487279534339905
1619118890.4945064,51,0.4253683388233185
1619118892.873785,52,0.4198966324329376
1619118895.3695967,53,0.4390847384929657
1619118897.854802,54,0.4330413043498993
1619118900.3451006,55,0.4261036515235901
1619118902.7268684,56,0.419562429189682
1619118905.2043114,57,0.41546526551246643
1619118907.7332487,58,0.432262122631073
1619118910.1068377,59,0.417852520942688
1619118912.5998783,60,0.42307692766189575
1619118915.0815742,61,0.4235444664955139
1619118917.4730036,62,0.4319899380207062
1619118919.9440172,63,0.40587449073791504
1619118922.4809465,64,0.4253968298435211
1619118924.8638396,65,0.4227330684661865
1619118927.339816,66,0.42720916867256165
1619118929.8386686,67,0.4247449040412903
1619118932.3095968,68,0.4213230609893799
1619118934.6790254,69,0.4215938448905945
1619118937.1545444,70,0.41818180680274963
1619118939.6477532,71,0.42381560802459717
1619118942.099676,72,0.4181229770183563
1619118944.4715235,73,0.4255591034889221
1619118946.9640076,74,0.4231511354446411
1619118949.4363167,75,0.43341708183288574
1619118951.8161283,76,0.42227980494499207
1619118954.2847598,77,0.4127190113067627
1619118956.757305,78,0.4228791892528534
1619118959.1293373,79,0.4161248505115509
1619118961.581671,80,0.4262922704219818
1619118964.1016505,81,0.4144262373447418
1619118966.4853451,82,0.42866283655166626
1619118968.9478157,83,0.41519320011138916
1619118971.4078197,84,0.4250474274158478
1619118973.894759,85,0.4110671877861023
1619118976.268162,86,0.4234234094619751
1619118978.7619884,87,0.4290260970592499
1619118981.2229908,88,0.4218040108680725
1619118983.6882975,89,0.42105263471603394
1619118986.0307786,90,0.42572346329689026
1619118988.4787915,91,0.4136572480201721
1619118990.945172,92,0.4279308021068573
1619118993.298316,93,0.419543981552124
1619118995.7692688,94,0.41912245750427246
1619118998.235266,95,0.4249037206172943
1619119000.5752978,96,0.4238496422767639
1619119002.9993217,97,0.42084941267967224
1619119005.4575775,98,0.42050617933273315
1619119007.8055675,99,0.41644909977912903
